#                           1                            2                            3                            4                            5 
#              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
#                        6794      1.3000000000000000E+001      1.4000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 
#
#                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11 
#                    model_number                         star_age                        star_mass                       delta_mass                        star_mdot                         log_Teff                            log_L                            log_R                            log_g                       center_he4                       surface_h1 
                              86          5.9537809013757771E+006          1.2989015466407656E+001         -1.0984533592344192E-002         -2.2762235613070719E-009          4.4460405391039952E+000          4.1953147186497226E+000          7.2883511756949715E-001          4.0937953522023838E+000          3.9586635905633727E-001          7.1951345155189173E-001 
                              87          6.5493231039974466E+006          1.2987602476590391E+001         -1.2397523409608979E-002         -2.3726107252298218E-009          4.4443605162021003E+000          4.2073873570977636E+000          7.3823148259730731E-001          4.0749553755280870E+000          4.1605541945145919E-001          7.1913234000832094E-001 
                              88          7.2044195268812813E+006          1.2985972944114392E+001         -1.4027055885607709E-002         -2.4874696595417225E-009          4.4423837732733134E+000          4.2212314650878566E+000          7.4910702244992744E-001          4.0531498022114070E+000          4.3921096263514803E-001          7.1855330996532618E-001 
                              89          7.9250255920535009E+006          1.2984081758429186E+001         -1.5918241570814118E-002         -2.6244376457653144E-009          4.4399950066164395E+000          4.2371897963037277E+000          7.6186372137161096E-001          4.0275731521709845E+000          4.6589580418856930E-001          7.1771867442999671E-001 
                              90          8.7176922637429424E+006          1.2981871601883860E+001         -1.8128398116139977E-002         -2.7882546652512484E-009          4.4369671656107723E+000          4.2557208825709152E+000          7.7718494651653991E-001          3.9968567697762065E+000          4.9706794814208682E-001          7.1658078056980812E-001 
                              91          9.5896256026013270E+006          1.2979268924838660E+001         -2.0731075161339874E-002         -2.9849495703496927E-009          4.4329000563939900E+000          4.2774586616481383E+000          7.9618805448871521E-001          3.9587634753553513E+000          5.3395224893455717E-001          7.1511889262949235E-001 
                              92          1.0526644204795655E+007          1.2976257598844485E+001         -2.3742401155514514E-002         -3.2137312825192767E-009          4.4274919355813767E+000          4.3027995695515999E+000          8.1967475006567259E-001          3.9116893116536589E+000          5.7659601355231893E-001          7.1338855084791708E-001 
                              93          1.1479909157792123E+007          1.2972944549554066E+001         -2.7055450445933715E-002         -3.4754758160418325E-009          4.4204728335191019E+000          4.3307618070652572E+000          8.4769407294705246E-001          3.8555397692995750E+000          6.2363105536582997E-001          7.1154155549379028E-001 
                              94          1.2407892537000282E+007          1.2969471762458539E+001         -3.0528237541460612E-002         -3.7422944993801705E-009          4.4117662288690749E+000          4.3599908907893505E+000          8.7972182410915156E-001          3.7913679931276918E+000          6.7360933858018002E-001          7.0972575240370850E-001 
                              95          1.3279725158862809E+007          1.2966006720471894E+001         -3.3993279528106157E-002         -3.9744348854968407E-009          4.4009767518014691E+000          4.3899098765417506E+000          9.1626027112056363E-001          3.7181750535401559E+000          7.2505150920718786E-001          7.0805018760089411E-001 
                              96          1.4073105347311998E+007          1.2959700244675025E+001         -4.0299755324975095E-002         -7.9488697709936814E-009          4.3875291833417034E+000          4.4196239700530331E+000          9.5801245479573627E-001          3.6344594003262047E+000          7.7868648587433487E-001          7.0656912254816473E-001 
                              97          1.4768044008387383E+007          1.2948652290843588E+001         -5.1347709156411625E-002         -1.5897739541987363E-008          4.3712367093455251E+000          4.4479201455412918E+000          1.0047454905322213E+000          3.5406229412981358E+000          8.3299500753211053E-001          7.0531954303286215E-001 
                              98          1.5353250191167437E+007          1.2930045379899193E+001         -6.9954620100807219E-002         -3.1795479083974726E-008          4.3538547937412968E+000          4.4734469932773342E+000          1.0522727456086987E+000          3.4449439112992635E+000          8.8291582509753963E-001          7.0430512872933704E-001 
                              99          1.5839343522692954E+007          1.2899134239188433E+001         -1.0086576081156728E-001         -6.3590958167949451E-008          4.3371336107662648E+000          4.4960846267961418E+000          1.0970339283181674E+000          3.3543820591876048E+000          9.2825811013252479E-001          7.0348766484366898E-001 
                             100          1.6037164167274309E+007          1.2879165189565803E+001         -1.2083481043419653E-001         -1.0094522573661685E-007          4.3314567749725050E+000          4.5060376516201055E+000          1.1133641123176694E+000          3.3210488423206113E+000          9.4892291384780458E-001          7.0315461634714149E-001 
